class,skillId,skillName,placeholderKey,placeholderType,level,value,ratio
gladiator,11010000,"Rending Blow",{se_dmg:1101000011:SkillUIMaxDmgsum},damage,28,1200,1.0265
gladiator,11010000,"Rending Blow",{se_dmg:1101000011:SkillUIMaxDmgsum},damage,29,1231,1.0258
gladiator,11010000,"Rending Blow",{se_dmg:1101000011:SkillUIMaxDmgsum},damage,30,1262,1.0252
gladiator,11010000,"Rending Blow",{se_dmg:1101000011:SkillUIMinDmgsum},damage,1,67,1.0000
gladiator,11010000,"Rending Blow",{se_dmg:1101000011:SkillUIMinDmgsum},damage,2,98,1.4627
gladiator,11010000,"Rending Blow",{se_dmg:1101000011:SkillUIMinDmgsum},damage,3,129,1.3163
gladiator,11010000,"Rending Blow",{se_dmg:1101000011:SkillUIMinDmgsum},damage,4,160,1.2403
gladiator,11010000,"Rending Blow",{se_dmg:1101000011:SkillUIMinDmgsum},damage,5,207,1.2937
gladiator,11010000,"Rending Blow",{se_dmg:1101000011:SkillUIMinDmgsum},damage,6,264,1.2754
gladiator,11010000,"Rending Blow",{se_dmg:1101000011:SkillUIMinDmgsum},damage,7,331,1.2538
gladiator,11010000,"Rending Blow",{se_dmg:1101000011:SkillUIMinDmgsum},damage,8,388,1.1722
gladiator,11010000,"Rending Blow",{se_dmg:1101000011:SkillUIMinDmgsum},damage,9,445,1.1469
gladiator,11010000,"Rending Blow",{se_dmg:1101000011:SkillUIMinDmgsum},damage,10,502,1.1281
gladiator,11010000,"Rending Blow",{se_dmg:1101000011:SkillUIMinDmgsum},damage,11,559,1.1135
gladiator,11010000,"Rending Blow",{se_dmg:1101000011:SkillUIMinDmgsum},damage,12,626,1.1199
gladiator,11010000,"Rending Blow",{se_dmg:1101000011:SkillUIMinDmgsum},damage,13,683,1.0911
gladiator,11010000,"Rending Blow",{se_dmg:1101000011:SkillUIMinDmgsum},damage,14,724,1.0600
gladiator,11010000,"Rending Blow",{se_dmg:1101000011:SkillUIMinDmgsum},damage,15,755,1.0428
gladiator,11010000,"Rending Blow",{se_dmg:1101000011:SkillUIMinDmgsum},damage,16,797,1.0556
gladiator,11010000,"Rending Blow",{se_dmg:1101000011:SkillUIMinDmgsum},damage,17,838,1.0514
gladiator,11010000,"Rending Blow",{se_dmg:1101000011:SkillUIMinDmgsum},damage,18,879,1.0489
gladiator,11010000,"Rending Blow",{se_dmg:1101000011:SkillUIMinDmgsum},damage,19,921,1.0478
gladiator,11010000,"Rending Blow",{se_dmg:1101000011:SkillUIMinDmgsum},damage,20,952,1.0337
gladiator,11010000,"Rending Blow",{se_dmg:1101000011:SkillUIMinDmgsum},damage,21,983,1.0326
gladiator,11010000,"Rending Blow",{se_dmg:1101000011:SkillUIMinDmgsum},damage,22,1014,1.0315
gladiator,11010000,"Rending Blow",{se_dmg:1101000011:SkillUIMinDmgsum},damage,23,1045,1.0306
gladiator,11010000,"Rending Blow",{se_dmg:1101000011:SkillUIMinDmgsum},damage,24,1076,1.0297
gladiator,11010000,"Rending Blow",{se_dmg:1101000011:SkillUIMinDmgsum},damage,25,1107,1.0288
gladiator,11010000,"Rending Blow",{se_dmg:1101000011:SkillUIMinDmgsum},damage,26,1138,1.0280
gladiator,11010000,"Rending Blow",{se_dmg:1101000011:SkillUIMinDmgsum},damage,27,1169,1.0272
gladiator,11010000,"Rending Blow",{se_dmg:1101000011:SkillUIMinDmgsum},damage,28,1200,1.0265
gladiator,11010000,"Rending Blow",{se_dmg:1101000011:SkillUIMinDmgsum},damage,29,1231,1.0258
gladiator,11010000,"Rending Blow",{se_dmg:1101000011:SkillUIMinDmgsum},damage,30,1262,1.0252
templar,12350000,"Warding Strike",{se:1235000022:effect_value02:time},duration,1,10000,1.0000
templar,12350000,"Warding Strike",{se:1235000022:effect_value02:time},duration,2,10000,1.0000
templar,12350000,"Warding Strike",{se:1235000022:effect_value02:time},duration,3,10000,1.0000
templar,12350000,"Warding Strike",{se:1235000022:effect_value02:time},duration,4,10000,1.0000
templar,12350000,"Warding Strike",{se:1235000022:effect_value02:time},duration,5,10000,1.0000
templar,12350000,"Warding Strike",{se:1235000022:effect_value02:time},duration,6,10000,1.0000
templar,12350000,"Warding Strike",{se:1235000022:effect_value02:time},duration,7,10000,1.0000
templar,12350000,"Warding Strike",{se:1235000022:effect_value02:time},duration,8,10000,1.0000
templar,12350000,"Warding Strike",{se:1235000022:effect_value02:time},duration,9,10000,1.0000
templar,12350000,"Warding Strike",{se:1235000022:effect_value02:time},duration,10,10000,1.0000
templar,12350000,"Warding Strike",{se:1235000022:effect_value02:time},duration,11,10000,1.0000
templar,12350000,"Warding Strike",{se:1235000022:effect_value02:time},duration,12,10000,1.0000
templar,12350000,"Warding Strike",{se:1235000022:effect_value02:time},duration,13,10000,1.0000
templar,12350000,"Warding Strike",{se:1235000022:effect_value02:time},duration,14,10000,1.0000
templar,12350000,"Warding Strike",{se:1235000022:effect_value02:time},duration,15,10000,1.0000
templar,12350000,"Warding Strike",{se:1235000022:effect_value02:time},duration,16,10000,1.0000
templar,12350000,"Warding Strike",{se:1235000022:effect_value02:time},duration,17,10000,1.0000
templar,12350000,"Warding Strike",{se:1235000022:effect_value02:time},duration,18,10000,1.0000
templar,12350000,"Warding Strike",{se:1235000022:effect_value02:time},duration,19,10000,1.0000
templar,12350000,"Warding Strike",{se:1235000022:effect_value02:time},duration,20,10000,1.0000
templar,12350000,"Warding Strike",{se:1235000022:effect_value02:time},duration,21,10000,1.0000
templar,12350000,"Warding Strike",{se:1235000022:effect_value02:time},duration,22,10000,1.0000
templar,12350000,"Warding Strike",{se:1235000022:effect_value02:time},duration,23,10000,1.0000
templar,12350000,"Warding Strike",{se:1235000022:effect_value02:time},duration,24,10000,1.0000
templar,12350000,"Warding Strike",{se:1235000022:effect_value02:time},duration,25,10000,1.0000
templar,12350000,"Warding Strike",{se:1235000022:effect_value02:time},duration,26,10000,1.0000
templar,12350000,"Warding Strike",{se:1235000022:effect_value02:time},duration,27,10000,1.0000
templar,12350000,"Warding Strike",{se:1235000022:effect_value02:time},duration,28,10000,1.0000
templar,12350000,"Warding Strike",{se:1235000022:effect_value02:time},duration,29,10000,1.0000
templar,12350000,"Warding Strike",{se:1235000022:effect_value02:time},duration,30,10000,1.0000
templar,12350000,"Warding Strike",{se_dmg:1235000021:SkillUIHPHealMax},heal,1,180,1.0000
templar,12350000,"Warding Strike",{se_dmg:1235000021:SkillUIHPHealMax},heal,2,235,1.3056
templar,12350000,"Warding Strike",{se_dmg:1235000021:SkillUIHPHealMax},heal,3,296,1.2596
templar,12350000,"Warding Strike",{se_dmg:1235000021:SkillUIHPHealMax},heal,4,437,1.4764
templar,12350000,"Warding Strike",{se_dmg:1235000021:SkillUIHPHealMax},heal,5,510,1.1670
templar,12350000,"Warding Strike",{se_dmg:1235000021:SkillUIHPHealMax},heal,6,625,1.2255
templar,12350000,"Warding Strike",{se_dmg:1235000021:SkillUIHPHealMax},heal,7,739,1.1824
templar,12350000,"Warding Strike",{se_dmg:1235000021:SkillUIHPHealMax},heal,8,809,1.0947
templar,12350000,"Warding Strike",{se_dmg:1235000021:SkillUIHPHealMax},heal,9,946,1.1693
templar,12350000,"Warding Strike",{se_dmg:1235000021:SkillUIHPHealMax},heal,10,1015,1.0729
templar,12350000,"Warding Strike",{se_dmg:1235000021:SkillUIHPHealMax},heal,11,1130,1.1133
templar,12350000,"Warding Strike",{se_dmg:1235000021:SkillUIHPHealMax},heal,12,1268,1.1221
templar,12350000,"Warding Strike",{se_dmg:1235000021:SkillUIHPHealMax},heal,13,1344,1.0599
templar,12350000,"Warding Strike",{se_dmg:1235000021:SkillUIHPHealMax},heal,14,1465,1.0900
templar,12350000,"Warding Strike",{se_dmg:1235000021:SkillUIHPHealMax},heal,15,1541,1.0519
templar,12350000,"Warding Strike",{se_dmg:1235000021:SkillUIHPHealMax},heal,16,1673,1.0857
templar,12350000,"Warding Strike",{se_dmg:1235000021:SkillUIHPHealMax},heal,17,1732,1.0353
templar,12350000,"Warding Strike",{se_dmg:1235000021:SkillUIHPHealMax},heal,18,1791,1.0341
templar,12350000,"Warding Strike",{se_dmg:1235000021:SkillUIHPHealMax},heal,19,1851,1.0335
templar,12350000,"Warding Strike",{se_dmg:1235000021:SkillUIHPHealMax},heal,20,1911,1.0324
templar,12350000,"Warding Strike",{se_dmg:1235000021:SkillUIHPHealMax},heal,21,1971,1.0314
templar,12350000,"Warding Strike",{se_dmg:1235000021:SkillUIHPHealMax},heal,22,2031,1.0304
templar,12350000,"Warding Strike",{se_dmg:1235000021:SkillUIHPHealMax},heal,23,2092,1.0300
templar,12350000,"Warding Strike",{se_dmg:1235000021:SkillUIHPHealMax},heal,24,2153,1.0292
templar,12350000,"Warding Strike",{se_dmg:1235000021:SkillUIHPHealMax},heal,25,2214,1.0283
templar,12350000,"Warding Strike",{se_dmg:1235000021:SkillUIHPHealMax},heal,26,2275,1.0276
templar,12350000,"Warding Strike",{se_dmg:1235000021:SkillUIHPHealMax},heal,27,2337,1.0273
templar,12350000,"Warding Strike",{se_dmg:1235000021:SkillUIHPHealMax},heal,28,2398,1.0261
templar,12350000,"Warding Strike",{se_dmg:1235000021:SkillUIHPHealMax},heal,29,2461,1.0263
templar,12350000,"Warding Strike",{se_dmg:1235000021:SkillUIHPHealMax},heal,30,2523,1.0252
templar,12350000,"Warding Strike",{se_dmg:1235000021:SkillUIHPHealMin},heal,1,180,1.0000
templar,12350000,"Warding Strike",{se_dmg:1235000021:SkillUIHPHealMin},heal,2,235,1.3056
templar,12350000,"Warding Strike",{se_dmg:1235000021:SkillUIHPHealMin},heal,3,296,1.2596
templar,12350000,"Warding Strike",{se_dmg:1235000021:SkillUIHPHealMin},heal,4,437,1.4764
templar,12350000,"Warding Strike",{se_dmg:1235000021:SkillUIHPHealMin},heal,5,510,1.1670
templar,12350000,"Warding Strike",{se_dmg:1235000021:SkillUIHPHealMin},heal,6,625,1.2255
templar,12350000,"Warding Strike",{se_dmg:1235000021:SkillUIHPHealMin},heal,7,739,1.1824
templar,12350000,"Warding Strike",{se_dmg:1235000021:SkillUIHPHealMin},heal,8,809,1.0947
templar,12350000,"Warding Strike",{se_dmg:1235000021:SkillUIHPHealMin},heal,9,946,1.1693
templar,12350000,"Warding Strike",{se_dmg:1235000021:SkillUIHPHealMin},heal,10,1015,1.0729
templar,12350000,"Warding Strike",{se_dmg:1235000021:SkillUIHPHealMin},heal,11,1130,1.1133
templar,12350000,"Warding Strike",{se_dmg:1235000021:SkillUIHPHealMin},heal,12,1268,1.1221
templar,12350000,"Warding Strike",{se_dmg:1235000021:SkillUIHPHealMin},heal,13,1344,1.0599
templar,12350000,"Warding Strike",{se_dmg:1235000021:SkillUIHPHealMin},heal,14,1465,1.0900
templar,12350000,"Warding Strike",{se_dmg:1235000021:SkillUIHPHealMin},heal,15,1541,1.0519
templar,12350000,"Warding Strike",{se_dmg:1235000021:SkillUIHPHealMin},heal,16,1673,1.0857
templar,12350000,"Warding Strike",{se_dmg:1235000021:SkillUIHPHealMin},heal,17,1732,1.0353
templar,12350000,"Warding Strike",{se_dmg:1235000021:SkillUIHPHealMin},heal,18,1791,1.0341
templar,12350000,"Warding Strike",{se_dmg:1235000021:SkillUIHPHealMin},heal,19,1851,1.0335
templar,12350000,"Warding Strike",{se_dmg:1235000021:SkillUIHPHealMin},heal,20,1911,1.0324
templar,12350000,"Warding Strike",{se_dmg:1235000021:SkillUIHPHealMin},heal,21,1971,1.0314
templar,12350000,"Warding Strike",{se_dmg:1235000021:SkillUIHPHealMin},heal,22,2031,1.0304
templar,12350000,"Warding Strike",{se_dmg:1235000021:SkillUIHPHealMin},heal,23,2092,1.0300
templar,12350000,"Warding Strike",{se_dmg:1235000021:SkillUIHPHealMin},heal,24,2153,1.0292
templar,12350000,"Warding Strike",{se_dmg:1235000021:SkillUIHPHealMin},heal,25,2214,1.0283
templar,12350000,"Warding Strike",{se_dmg:1235000021:SkillUIHPHealMin},heal,26,2275,1.0276
templar,12350000,"Warding Strike",{se_dmg:1235000021:SkillUIHPHealMin},heal,27,2337,1.0273
templar,12350000,"Warding Strike",{se_dmg:1235000021:SkillUIHPHealMin},heal,28,2398,1.0261
templar,12350000,"Warding Strike",{se_dmg:1235000021:SkillUIHPHealMin},heal,29,2461,1.0263
templar,12350000,"Warding Strike",{se_dmg:1235000021:SkillUIHPHealMin},heal,30,2523,1.0252
assassin,13010000,"Quick Slice",{se_dmg:1301000011:SkillUIMaxDmgsum},damage,1,47,1.0000
assassin,13010000,"Quick Slice",{se_dmg:1301000011:SkillUIMaxDmgsum},damage,2,63,1.3404
assassin,13010000,"Quick Slice",{se_dmg:1301000011:SkillUIMaxDmgsum},damage,3,79,1.2540
assassin,13010000,"Quick Slice",{se_dmg:1301000011:SkillUIMaxDmgsum},damage,4,96,1.2152
assassin,13010000,"Quick Slice",{se_dmg:1301000011:SkillUIMaxDmgsum},damage,5,120,1.2500
assassin,13010000,"Quick Slice",{se_dmg:1301000011:SkillUIMaxDmgsum},damage,6,151,1.2583
assassin,13010000,"Quick Slice",{se_dmg:1301000011:SkillUIMaxDmgsum},damage,7,188,1.2450
assassin,13010000,"Quick Slice",{se_dmg:1301000011:SkillUIMaxDmgsum},damage,8,219,1.1649
assassin,13010000,"Quick Slice",{se_dmg:1301000011:SkillUIMaxDmgsum},damage,9,250,1.1416
assassin,13010000,"Quick Slice",{se_dmg:1301000011:SkillUIMaxDmgsum},damage,10,281,1.1240
assassin,13010000,"Quick Slice",{se_dmg:1301000011:SkillUIMaxDmgsum},damage,11,312,1.1103
assassin,13010000,"Quick Slice",{se_dmg:1301000011:SkillUIMaxDmgsum},damage,12,349,1.1186
assassin,13010000,"Quick Slice",{se_dmg:1301000011:SkillUIMaxDmgsum},damage,13,380,1.0888
assassin,13010000,"Quick Slice",{se_dmg:1301000011:SkillUIMaxDmgsum},damage,14,403,1.0605
assassin,13010000,"Quick Slice",{se_dmg:1301000011:SkillUIMaxDmgsum},damage,15,419,1.0397
assassin,13010000,"Quick Slice",{se_dmg:1301000011:SkillUIMaxDmgsum},damage,16,442,1.0549
assassin,13010000,"Quick Slice",{se_dmg:1301000011:SkillUIMaxDmgsum},damage,17,464,1.0498
assassin,13010000,"Quick Slice",{se_dmg:1301000011:SkillUIMaxDmgsum},damage,18,487,1.0496
assassin,13010000,"Quick Slice",{se_dmg:1301000011:SkillUIMaxDmgsum},damage,19,510,1.0472
assassin,13010000,"Quick Slice",{se_dmg:1301000011:SkillUIMaxDmgsum},damage,20,526,1.0314
assassin,13010000,"Quick Slice",{se_dmg:1301000011:SkillUIMaxDmgsum},damage,21,542,1.0304
assassin,13010000,"Quick Slice",{se_dmg:1301000011:SkillUIMaxDmgsum},damage,22,559,1.0314
assassin,13010000,"Quick Slice",{se_dmg:1301000011:SkillUIMaxDmgsum},damage,23,575,1.0286
assassin,13010000,"Quick Slice",{se_dmg:1301000011:SkillUIMaxDmgsum},damage,24,592,1.0296
assassin,13010000,"Quick Slice",{se_dmg:1301000011:SkillUIMaxDmgsum},damage,25,608,1.0270
assassin,13010000,"Quick Slice",{se_dmg:1301000011:SkillUIMaxDmgsum},damage,26,624,1.0263
assassin,13010000,"Quick Slice",{se_dmg:1301000011:SkillUIMaxDmgsum},damage,27,641,1.0272
assassin,13010000,"Quick Slice",{se_dmg:1301000011:SkillUIMaxDmgsum},damage,28,657,1.0250
assassin,13010000,"Quick Slice",{se_dmg:1301000011:SkillUIMaxDmgsum},damage,29,673,1.0244
assassin,13010000,"Quick Slice",{se_dmg:1301000011:SkillUIMaxDmgsum},damage,30,690,1.0253
assassin,13010000,"Quick Slice",{se_dmg:1301000011:SkillUIMinDmgsum},damage,1,47,1.0000
assassin,13010000,"Quick Slice",{se_dmg:1301000011:SkillUIMinDmgsum},damage,2,63,1.3404
assassin,13010000,"Quick Slice",{se_dmg:1301000011:SkillUIMinDmgsum},damage,3,79,1.2540
assassin,13010000,"Quick Slice",{se_dmg:1301000011:SkillUIMinDmgsum},damage,4,96,1.2152
assassin,13010000,"Quick Slice",{se_dmg:1301000011:SkillUIMinDmgsum},damage,5,120,1.2500
assassin,13010000,"Quick Slice",{se_dmg:1301000011:SkillUIMinDmgsum},damage,6,151,1.2583
assassin,13010000,"Quick Slice",{se_dmg:1301000011:SkillUIMinDmgsum},damage,7,188,1.2450
assassin,13010000,"Quick Slice",{se_dmg:1301000011:SkillUIMinDmgsum},damage,8,219,1.1649
assassin,13010000,"Quick Slice",{se_dmg:1301000011:SkillUIMinDmgsum},damage,9,250,1.1416
assassin,13010000,"Quick Slice",{se_dmg:1301000011:SkillUIMinDmgsum},damage,10,281,1.1240
assassin,13010000,"Quick Slice",{se_dmg:1301000011:SkillUIMinDmgsum},damage,11,312,1.1103
assassin,13010000,"Quick Slice",{se_dmg:1301000011:SkillUIMinDmgsum},damage,12,349,1.1186
assassin,13010000,"Quick Slice",{se_dmg:1301000011:SkillUIMinDmgsum},damage,13,380,1.0888
assassin,13010000,"Quick Slice",{se_dmg:1301000011:SkillUIMinDmgsum},damage,14,403,1.0605
assassin,13010000,"Quick Slice",{se_dmg:1301000011:SkillUIMinDmgsum},damage,15,419,1.0397
assassin,13010000,"Quick Slice",{se_dmg:1301000011:SkillUIMinDmgsum},damage,16,442,1.0549
assassin,13010000,"Quick Slice",{se_dmg:1301000011:SkillUIMinDmgsum},damage,17,464,1.0498
assassin,13010000,"Quick Slice",{se_dmg:1301000011:SkillUIMinDmgsum},damage,18,487,1.0496
assassin,13010000,"Quick Slice",{se_dmg:1301000011:SkillUIMinDmgsum},damage,19,510,1.0472
assassin,13010000,"Quick Slice",{se_dmg:1301000011:SkillUIMinDmgsum},damage,20,526,1.0314
assassin,13010000,"Quick Slice",{se_dmg:1301000011:SkillUIMinDmgsum},damage,21,542,1.0304
assassin,13010000,"Quick Slice",{se_dmg:1301000011:SkillUIMinDmgsum},damage,22,559,1.0314
assassin,13010000,"Quick Slice",{se_dmg:1301000011:SkillUIMinDmgsum},damage,23,575,1.0286
assassin,13010000,"Quick Slice",{se_dmg:1301000011:SkillUIMinDmgsum},damage,24,592,1.0296
assassin,13010000,"Quick Slice",{se_dmg:1301000011:SkillUIMinDmgsum},damage,25,608,1.0270
assassin,13010000,"Quick Slice",{se_dmg:1301000011:SkillUIMinDmgsum},damage,26,624,1.0263
assassin,13010000,"Quick Slice",{se_dmg:1301000011:SkillUIMinDmgsum},damage,27,641,1.0272
assassin,13010000,"Quick Slice",{se_dmg:1301000011:SkillUIMinDmgsum},damage,28,657,1.0250
assassin,13010000,"Quick Slice",{se_dmg:1301000011:SkillUIMinDmgsum},damage,29,673,1.0244
assassin,13010000,"Quick Slice",{se_dmg:1301000011:SkillUIMinDmgsum},damage,30,690,1.0253
assassin,13050000,"Flash Slice",{se_dmg:1305000021:SkillUIMaxDmgsum},damage,1,181,1.0000
assassin,13050000,"Flash Slice",{se_dmg:1305000021:SkillUIMaxDmgsum},damage,2,243,1.3425
assassin,13050000,"Flash Slice",{se_dmg:1305000021:SkillUIMaxDmgsum},damage,3,322,1.3251
assassin,13050000,"Flash Slice",{se_dmg:1305000021:SkillUIMaxDmgsum},damage,4,417,1.2950
assassin,13050000,"Flash Slice",{se_dmg:1305000021:SkillUIMaxDmgsum},damage,5,495,1.1871
assassin,13050000,"Flash Slice",{se_dmg:1305000021:SkillUIMaxDmgsum},damage,6,574,1.1596
assassin,13050000,"Flash Slice",{se_dmg:1305000021:SkillUIMaxDmgsum},damage,7,653,1.1376
assassin,13050000,"Flash Slice",{se_dmg:1305000021:SkillUIMaxDmgsum},damage,8,731,1.1194
assassin,13050000,"Flash Slice",{se_dmg:1305000021:SkillUIMaxDmgsum},damage,9,826,1.1300
assassin,13050000,"Flash Slice",{se_dmg:1305000021:SkillUIMaxDmgsum},damage,10,905,1.0956
assassin,13050000,"Flash Slice",{se_dmg:1305000021:SkillUIMaxDmgsum},damage,11,963,1.0641
assassin,13050000,"Flash Slice",{se_dmg:1305000021:SkillUIMaxDmgsum},damage,12,1004,1.0426
assassin,13050000,"Flash Slice",{se_dmg:1305000021:SkillUIMaxDmgsum},damage,13,1062,1.0578
assassin,13050000,"Flash Slice",{se_dmg:1305000021:SkillUIMaxDmgsum},damage,14,1120,1.0546
assassin,13050000,"Flash Slice",{se_dmg:1305000021:SkillUIMaxDmgsum},damage,15,1178,1.0518
assassin,13050000,"Flash Slice",{se_dmg:1305000021:SkillUIMaxDmgsum},damage,16,1235,1.0484
assassin,13050000,"Flash Slice",{se_dmg:1305000021:SkillUIMaxDmgsum},damage,17,1277,1.0340
assassin,13050000,"Flash Slice",{se_dmg:1305000021:SkillUIMaxDmgsum},damage,18,1319,1.0329
assassin,13050000,"Flash Slice",{se_dmg:1305000021:SkillUIMaxDmgsum},damage,19,1361,1.0318
assassin,13050000,"Flash Slice",{se_dmg:1305000021:SkillUIMaxDmgsum},damage,20,1402,1.0301
assassin,13050000,"Flash Slice",{se_dmg:1305000021:SkillUIMaxDmgsum},damage,21,1444,1.0300
assassin,13050000,"Flash Slice",{se_dmg:1305000021:SkillUIMaxDmgsum},damage,22,1486,1.0291
assassin,13050000,"Flash Slice",{se_dmg:1305000021:SkillUIMaxDmgsum},damage,23,1527,1.0276
assassin,13050000,"Flash Slice",{se_dmg:1305000021:SkillUIMaxDmgsum},damage,24,1569,1.0275
assassin,13050000,"Flash Slice",{se_dmg:1305000021:SkillUIMaxDmgsum},damage,25,1611,1.0268
assassin,13050000,"Flash Slice",{se_dmg:1305000021:SkillUIMaxDmgsum},damage,26,1653,1.0261
assassin,13050000,"Flash Slice",{se_dmg:1305000021:SkillUIMaxDmgsum},damage,27,1694,1.0248
assassin,13050000,"Flash Slice",{se_dmg:1305000021:SkillUIMaxDmgsum},damage,28,1736,1.0248
assassin,13050000,"Flash Slice",{se_dmg:1305000021:SkillUIMaxDmgsum},damage,29,1778,1.0242
assassin,13050000,"Flash Slice",{se_dmg:1305000021:SkillUIMaxDmgsum},damage,30,1820,1.0236
assassin,13050000,"Flash Slice",{se_dmg:1305000021:SkillUIMinDmgsum},damage,1,181,1.0000
assassin,13050000,"Flash Slice",{se_dmg:1305000021:SkillUIMinDmgsum},damage,2,243,1.3425
assassin,13050000,"Flash Slice",{se_dmg:1305000021:SkillUIMinDmgsum},damage,3,322,1.3251
assassin,13050000,"Flash Slice",{se_dmg:1305000021:SkillUIMinDmgsum},damage,4,417,1.2950
assassin,13050000,"Flash Slice",{se_dmg:1305000021:SkillUIMinDmgsum},damage,5,495,1.1871
assassin,13050000,"Flash Slice",{se_dmg:1305000021:SkillUIMinDmgsum},damage,6,574,1.1596
assassin,13050000,"Flash Slice",{se_dmg:1305000021:SkillUIMinDmgsum},damage,7,653,1.1376
assassin,13050000,"Flash Slice",{se_dmg:1305000021:SkillUIMinDmgsum},damage,8,731,1.1194
assassin,13050000,"Flash Slice",{se_dmg:1305000021:SkillUIMinDmgsum},damage,9,826,1.1300
assassin,13050000,"Flash Slice",{se_dmg:1305000021:SkillUIMinDmgsum},damage,10,905,1.0956
assassin,13050000,"Flash Slice",{se_dmg:1305000021:SkillUIMinDmgsum},damage,11,963,1.0641
assassin,13050000,"Flash Slice",{se_dmg:1305000021:SkillUIMinDmgsum},damage,12,1004,1.0426
assassin,13050000,"Flash Slice",{se_dmg:1305000021:SkillUIMinDmgsum},damage,13,1062,1.0578
assassin,13050000,"Flash Slice",{se_dmg:1305000021:SkillUIMinDmgsum},damage,14,1120,1.0546
assassin,13050000,"Flash Slice",{se_dmg:1305000021:SkillUIMinDmgsum},damage,15,1178,1.0518
assassin,13050000,"Flash Slice",{se_dmg:1305000021:SkillUIMinDmgsum},damage,16,1235,1.0484
assassin,13050000,"Flash Slice",{se_dmg:1305000021:SkillUIMinDmgsum},damage,17,1277,1.0340
assassin,13050000,"Flash Slice",{se_dmg:1305000021:SkillUIMinDmgsum},damage,18,1319,1.0329
assassin,13050000,"Flash Slice",{se_dmg:1305000021:SkillUIMinDmgsum},damage,19,1361,1.0318
assassin,13050000,"Flash Slice",{se_dmg:1305000021:SkillUIMinDmgsum},damage,20,1402,1.0301
assassin,13050000,"Flash Slice",{se_dmg:1305000021:SkillUIMinDmgsum},damage,21,1444,1.0300
assassin,13050000,"Flash Slice",{se_dmg:1305000021:SkillUIMinDmgsum},damage,22,1486,1.0291
assassin,13050000,"Flash Slice",{se_dmg:1305000021:SkillUIMinDmgsum},damage,23,1527,1.0276
assassin,13050000,"Flash Slice",{se_dmg:1305000021:SkillUIMinDmgsum},damage,24,1569,1.0275
assassin,13050000,"Flash Slice",{se_dmg:1305000021:SkillUIMinDmgsum},damage,25,1611,1.0268
